"""","住宅に住む一般世帯_総数(世帯)","住宅に住む一般世帯_0～49m2(世帯)","住宅に住む一般世帯_50～99m2(世帯)","住宅に住む一般世帯_100～149m2(世帯)","住宅に住む一般世帯_150～249m2(世帯)","住宅に住む一般世帯_250m2～(世帯)"
"県  計","388933.0","73151.0","141315.0","109973.0","53136.0","11329.0"
"","","","","","",""
"　和歌山市","150474.0","34181.0","58292.0","38493.0","16355.0","3145.0"
"　海 南 市","20614.0","3618.0","6686.0","6106.0","3393.0","811.0"
"　橋 本 市","23335.0","3050.0","6840.0","8615.0","3791.0","1039.0"
"　有 田 市","10592.0","1599.0","3131.0","3189.0","2250.0","422.0"
"　御 坊 市","9855.0","2002.0","3231.0","2710.0","1586.0","326.0"
"　田 辺 市","32505.0","7224.0","12292.0","8625.0","3710.0","654.0"
"　新 宮 市","13918.0","3625.0","5820.0","3223.0","1058.0","192.0"
"　紀の川市","23065.0","2634.0","6916.0","7843.0","4471.0","1200.0"
"　岩 出 市","19499.0","3155.0","8029.0","5780.0","2097.0","437.0"
"","","","","","",""
"  紀美野町","3939.0","366.0","1364.0","1234.0","804.0","171.0"
"","","","","","",""
"　かつらぎ町","6439.0","792.0","1801.0","1820.0","1510.0","516.0"
"　九度山町","1717.0","240.0","523.0","457.0","374.0","123.0"
"　高 野 町","1565.0","293.0","607.0","357.0","221.0","87.0"
"","","","","","",""
"　湯 浅 町","4929.0","884.0","1755.0","1305.0","789.0","196.0"
"　広 川 町","2484.0","285.0","690.0","772.0","615.0","120.0"
"　有田川町","9171.0","931.0","2796.0","2788.0","2108.0","548.0"
"","","","","","",""
"　美 浜 町","3070.0","523.0","1047.0","945.0","490.0","65.0"
"　日 高 町","2628.0","168.0","805.0","992.0","568.0","95.0"
"　由 良 町","2365.0","331.0","821.0","747.0","386.0","79.0"
"　印 南 町","2992.0","319.0","921.0","1005.0","632.0","115.0"
"　みなべ町","4350.0","474.0","1429.0","1259.0","961.0","227.0"
"　日高川町","3704.0","323.0","1320.0","1150.0","752.0","159.0"
"","","","","","",""
"　白 浜 町","9040.0","1719.0","3239.0","2686.0","1194.0","188.0"
"　上富田町","5584.0","598.0","2056.0","1992.0","852.0","86.0"
"　すさみ町","2077.0","383.0","825.0","544.0","282.0","43.0"
"","","","","","",""
"　那智勝浦町","7626.0","1661.0","3116.0","2012.0","716.0","120.0"
"　太 地 町","1398.0","260.0","534.0","430.0","157.0","17.0"
"　古座川町","1469.0","226.0","670.0","402.0","152.0","19.0"
"　北 山 村","255.0","43.0","153.0","46.0","13.0","-"
"　串 本 町","8274.0","1244.0","3606.0","2446.0","849.0","129.0"
